COUNTRY,Year,POPULATION (M),"GDP (B, USD)",G20 RANK,OECD RANK,ASIA RANK,OVERALL RANK
AR,2023,45.5,622.0,15.0,,,16.0
AU,2023,26.2,1688.0,19.0,18.0,7.0,26.0
AT,2023,8.9,526.0,,24.0,,36.0
BA,2023,171.2,446.0,,,14.0,46.0
BE,2023,11.7,628.0,,22.0,,32.0
BT,2023,0.8,3.0,,,,66.0
BRA,2023,215.3,2127.0,10.0,,,10.0
BR,2023,0.4,15.0,,,22.0,60.0
CB,2023,16.8,31.0,,,20.5,58.5
CA,2023,38.5,2118.0,14.0,11.0,,15.0
CL,2023,19.6,344.0,,19.0,,27.5
CN,2023,1434.1,18125.0,1.0,,1.0,1.0
CO,2023,51.9,364.0,,21.0,,30.0
CR,2023,5.2,86.0,,34.0,,51.0
CZ,2023,10.5,335.0,,20.0,,29.0
DK,2023,5.9,421.0,,28.5,,43.5
EE,2023,1.3,42.0,,36.0,,55.5
EU,2023,447.4,18351.0,16.0,,,18.0
FI,2023,5.5,306.0,,28.5,,43.5
FR,2023,64.6,3049.0,5.0,4.0,,5.0
DE,2023,83.4,4430.0,8.0,6.0,,8.0
GR,2023,10.4,242.0,,16.0,,22.0
HU,2023,10.0,204.0,,14.0,,20.0
IS,2023,0.4,31.0,,38.0,,64.0
IN,2023,1417.2,3732.0,11.0,,4.0,11.0
ID,2023,275.5,1417.0,17.0,,6.0,23.0
IE,2023,5.0,590.0,,26.0,,38.0
IL,2023,9.0,522.0,,23.0,,34.0
IT,2023,59.0,2186.0,9.0,7.0,,9.0
JP,2023,124.0,4231.0,4.0,3.0,2.0,4.0
NK,2023,26.1,23.0,,,20.5,58.5
SK,2023,51.8,1709.0,12.0,9.0,5.0,13.0
LA,2023,7.5,14.0,,,23.5,61.5
LV,2023,1.9,47.0,,36.0,,55.5
LT,2023,2.8,79.0,,32.0,,48.0
LU,2023,0.6,89.0,,36.0,,55.5
MA,2023,33.9,431.0,,,10.0,35.0
MX,2023,127.5,1811.0,13.0,10.0,,14.0
MO,2023,3.4,19.0,,,17.5,52.5
MY,2023,54.2,75.0,,,19.0,55.5
NP,2023,30.5,41.0,,,23.5,61.5
NL,2023,17.6,1093.0,,12.0,,17.0
NZ,2023,5.2,249.0,,31.0,15.0,47.0
NO,2023,5.4,547.0,,27.0,,42.0
PK,2023,235.8,341.0,,,8.0,27.5
PG,2023,10.1,32.0,,,26.0,65.0
PH,2023,115.6,436.0,,,12.5,40.5
PL,2023,39.9,842.0,,15.0,,21.0
PT,2023,10.3,276.0,,17.0,,25.0
RU,2023,144.7,1862.0,6.0,,3.0,6.0
SA,2023,36.4,1069.0,18.0,,,24.0
SG,2023,6.0,497.0,,,17.5,52.5
SVK,2023,5.6,133.0,,30.0,,45.0
SI,2023,2.1,68.0,,33.0,,50.0
ZA,2023,59.9,381.0,20.0,,,31.0
ES,2023,47.6,1582.0,,8.0,,12.0
SL,2023,21.8,75.0,,,16.0,49.0
SE,2023,10.5,597.0,,25.0,,37.0
CH,2023,8.7,906.0,,13.0,,19.0
TW,2023,23.9,752.0,,,9.0,33.0
TH,2023,71.7,512.0,,,11.0,39.0
TL,2023,1.3,2.0,,,25.0,63.0
TR,2023,85.3,1155.0,3.0,2.0,,3.0
UK,2023,67.5,3332.0,7.0,5.0,,7.0
US,2023,338.3,26950.0,2.0,1.0,,2.0
VN,2023,98.2,433.0,,,12.5,40.5
AR,2021,45.5,622.0,14.0,,,15.0
AU,2021,26.2,1688.0,18.0,19.0,7.0,26.0
AT,2021,8.9,526.0,,25.0,,37.0
BA,2021,171.2,446.0,,,14.0,46.0
BE,2021,11.7,628.0,,20.0,,28.0
BT,2021,0.8,3.0,,,,65.0
BRA,2021,215.3,2127.0,9.0,,,10.0
BR,2021,0.4,15.0,,,22.0,59.0
CB,2021,16.8,31.0,,,21.0,58.0
CA,2021,38.5,2118.0,15.0,13.0,,18.0
CL,2021,19.6,344.0,,18.0,,25.0
CN,2021,1434.1,18125.0,1.0,,1.0,1.0
CO,2021,51.9,364.0,,21.0,,30.0
CR,2021,5.2,86.0,,33.0,,50.0
CZ,2021,10.5,335.0,,21.0,,30.0
DK,2021,5.9,421.0,,27.0,,42.0
EE,2021,1.3,42.0,,36.0,,55.0
EU,2021,447.4,18351.0,16.0,,,19.0
FI,2021,5.5,306.0,,29.0,,44.0
FR,2021,64.6,3049.0,3.0,2.0,,3.0
DE,2021,83.4,4430.0,8.0,6.0,,8.0
GR,2021,10.4,242.0,,15.0,,21.0
HU,2021,10.0,204.0,,16.0,,22.0
IS,2021,0.4,31.0,,38.0,,63.0
IN,2021,1417.2,3732.0,11.0,,4.0,12.0
ID,2021,275.5,1417.0,17.0,,6.0,23.0
IE,2021,5.0,590.0,,28.0,,43.0
IL,2021,9.0,522.0,,24.0,,36.0
IT,2021,59.0,2186.0,10.0,8.0,,11.0
JP,2021,124.0,4231.0,4.0,3.0,2.0,4.0
NK,2021,26.1,23.0,,,17.0,52.0
SK,2021,51.8,1709.0,12.0,9.0,5.0,13.0
LA,2021,7.5,14.0,,,23.0,61.0
LV,2021,1.9,47.0,,35.0,,54.0
LT,2021,2.8,79.0,,31.0,,48.0
LU,2021,0.6,89.0,,37.0,,60.0
MA,2021,33.9,431.0,,,10.0,34.0
MX,2021,127.5,1811.0,13.0,10.0,,14.0
MO,2021,3.4,19.0,,,20.0,57.0
MY,2021,54.2,75.0,,,19.0,55.0
NP,2021,30.5,41.0,,,23.0,61.0
NL,2021,17.6,1093.0,,11.0,,16.0
NZ,2021,5.2,249.0,,31.0,16.0,48.0
NO,2021,5.4,547.0,,26.0,,38.0
PK,2021,235.8,341.0,,,8.0,32.0
PG,2021,10.1,32.0,,,25.0,64.0
PH,2021,115.6,436.0,,,13.0,41.0
PL,2021,39.9,842.0,,14.0,,20.0
PT,2021,10.3,276.0,,17.0,,23.0
RU,2021,144.7,1862.0,6.0,,3.0,6.0
SA,2021,36.4,1069.0,20.0,,,30.0
SG,2021,6.0,497.0,,,17.0,52.0
SVK,2021,5.6,133.0,,30.0,,45.0
SI,2021,2.1,68.0,,34.0,,51.0
ZA,2021,59.9,381.0,18.0,,,26.0
ES,2021,47.6,1582.0,,7.0,,9.0
SL,2021,21.8,75.0,,,15.0,47.0
SE,2021,10.5,597.0,,23.0,,35.0
CH,2021,8.7,906.0,,12.0,,17.0
TW,2021,23.9,752.0,,,9.0,33.0
TH,2021,71.7,512.0,,,11.0,39.0
TR,2021,85.3,1155.0,5.0,4.0,,5.0
UK,2021,67.5,3332.0,7.0,5.0,,7.0
US,2021,338.3,26950.0,2.0,1.0,,2.0
VN,2021,98.2,433.0,,,12.0,40.0
AR,2019,44.5,518.0,13.0,,,14.0
AU,2019,25.0,1432.0,18.0,20.0,,27.0
AT,2019,8.8,456.0,,25.0,,36.0
BA,2019,161.4,274.0,,,12.0,44.0
BE,2019,11.4,532.0,,19.0,,26.0
BT,2019,0.8,3.0,,,22.0,61.0
BRA,2019,209.5,1869.0,8.0,,,8.0
BR,2019,0.4,14.0,,,18.0,55.0
CB,2019,16.2,25.0,,,21.0,58.0
CA,2019,37.1,1713.0,15.0,13.0,,18.0
CL,2019,18.7,298.0,,18.0,,24.0
CN,2019,1400.8,14026.0,1.0,,1.0,1.0
CZ,2019,10.6,245.0,,21.0,,29.0
DK,2019,5.8,352.0,,26.0,,39.0
EE,2019,1.3,30.0,,34.0,,52.0
FI,2019,5.5,274.0,,28.0,,42.0
FR,2019,67.0,2778.0,3.0,2.0,,3.0
DE,2019,82.9,3997.0,7.0,5.0,,7.0
GR,2019,10.7,218.0,,15.0,,20.0
HU,2019,9.8,156.0,,16.0,,22.0
IS,2019,0.4,26.0,,36.0,,60.0
IN,2019,1352.6,2726.0,11.0,,3.0,12.0
ID,2019,267.7,1042.0,16.0,,5.0,21.0
IE,2019,4.9,382.0,,27.0,,40.0
IL,2019,8.9,370.0,,23.0,,34.0
IT,2019,60.4,2074.0,9.0,7.0,,10.0
JP,2019,126.5,4971.0,4.0,3.0,2.0,4.0
NK,2019,25.5,17.0,,,14.0,49.0
SK,2019,51.6,1619.0,12.0,9.0,4.0,13.0
LA,2019,7.1,18.0,,,20.0,57.0
LV,2019,1.9,35.0,,33.0,,51.0
LT,2019,2.8,53.0,,31.0,,47.0
LU,2019,0.6,69.0,,35.0,,59.0
MA,2019,31.5,354.0,,,7.0,31.0
MX,2019,126.2,1224.0,14.0,10.0,,15.0
MO,2019,3.2,13.0,,,17.0,54.0
MY,2019,53.7,71.0,,,16.0,53.0
NP,2019,28.1,29.0,,,19.0,56.0
NL,2019,17.2,914.0,,11.0,,16.0
NZ,2019,4.9,205.0,,30.0,,45.0
NO,2019,5.3,435.0,,24.0,,35.0
PK,2019,212.2,313.0,,,6.0,28.0
PH,2019,106.7,331.0,,,11.0,41.0
PL,2019,38.0,586.0,,14.0,,19.0
PT,2019,10.3,238.0,,17.0,,23.0
RU,2019,144.5,1658.0,5.0,,,5.0
SA,2019,33.7,782.0,19.0,,,30.0
SG,2019,5.6,364.0,,,15.0,50.0
SVK,2019,5.4,106.0,,29.0,,43.0
SI,2019,2.1,54.0,,32.0,,48.0
ZA,2019,57.8,368.0,17.0,,,25.0
ES,2019,46.7,1426.0,,6.0,,9.0
SL,2019,21.7,89.0,,,13.0,46.0
SE,2019,10.2,551.0,,22.0,,33.0
CH,2019,8.5,706.0,,12.0,,17.0
TW,2019,23.6,589.0,,,8.0,32.0
TH,2019,69.4,505.0,,,9.0,37.0
TR,2019,82.3,767.0,6.0,4.0,,6.0
UK,2019,66.5,2825.0,10.0,8.0,,11.0
US,2019,327.2,20494.0,2.0,1.0,,2.0
VN,2019,95.5,245.0,,,10.0,38.0
AR,2017,43.8,546.0,14.0,,,15.0
AU,2017,24.1,1205.0,18.0,20.0,,28.0
AT,2017,8.7,386.0,,24.0,,35.0
BA,2017,163.0,221.0,,,12.0,44.0
BE,2017,11.3,466.0,,19.0,,26.0
BT,2017,0.8,2.0,,,22.0,60.0
BRA,2017,207.6,1796.0,8.0,,,8.0
BR,2017,0.4,11.0,,,18.0,53.0
CB,2017,15.8,20.0,,,21.0,57.0
CA,2017,36.3,1530.0,15.0,13.0,,18.0
CL,2017,17.9,247.0,,16.0,,22.0
CN,2017,1378.7,11199.0,2.0,,1.0,2.0
CZ,2017,10.6,193.0,,21.0,,29.0
DK,2017,5.7,306.0,,26.0,,39.0
EE,2017,1.3,23.0,,33.0,,54.0
FI,2017,5.5,237.0,,27.0,,40.0
FR,2017,66.9,2465.0,3.0,2.0,,3.0
DE,2017,82.7,3467.0,7.0,5.0,,7.0
GR,2017,10.7,195.0,,15.0,,21.0
HU,2017,9.8,124.0,,18.0,,24.0
IS,2017,0.3,20.0,,35.0,,59.0
IN,2017,1324.1,2264.0,12.0,,4.0,13.0
ID,2017,261.1,932.0,16.0,,5.0,20.0
IE,2017,4.8,294.0,,29.0,,43.0
IL,2017,8.5,319.0,,22.0,,33.0
IT,2017,60.6,1850.0,10.0,8.0,,11.0
JP,2017,127.0,4939.0,5.0,3.0,2.0,5.0
NK,2017,25.4,16.0,,,14.0,47.0
SK,2017,51.2,1411.0,11.0,9.0,3.0,12.0
LA,2017,6.8,16.0,,,19.0,55.0
LV,2017,2.0,27.7,,32.0,,50.0
LU,2017,0.6,60.0,,34.0,,58.0
MA,2017,31.2,296.0,,,8.0,32.0
MX,2017,127.5,1046.0,13.0,10.0,,14.0
MO,2017,3.0,11.0,,,16.0,51.0
MY,2017,52.9,67.0,,,17.0,52.0
NP,2017,29.0,21.0,,,20.0,56.0
NL,2017,17.0,771.0,,12.0,,17.0
NZ,2017,4.7,185.0,,30.0,,45.0
NO,2017,5.2,371.0,,25.0,,36.0
PK,2017,193.2,284.0,,,6.0,27.0
PH,2017,103.3,305.0,,,11.0,41.0
PL,2017,37.9,470.0,,14.0,,19.0
PT,2017,10.3,205.0,,17.0,,23.0
RU,2017,144.3,1283.0,4.0,,,4.0
SA,2017,32.3,646.0,19.0,,,30.0
SG,2017,5.6,297.0,,,15.0,49.0
SVK,2017,5.4,90.0,,28.0,,42.0
SI,2017,2.1,44.0,,31.0,,48.0
ZA,2017,55.9,295.0,17.0,,,25.0
ES,2017,46.4,1232.0,,6.0,,9.0
SL,2017,21.2,81.0,,,13.0,46.0
SE,2017,9.9,511.0,,23.0,,34.0
CH,2017,8.4,659.0,,11.0,,16.0
TW,2017,23.5,523.0,,,7.0,31.0
TH,2017,68.9,407.0,,,10.0,38.0
TR,2017,79.5,858.0,6.0,4.0,,6.0
UK,2017,65.6,2619.0,9.0,7.0,,10.0
US,2017,323.2,18569.0,1.0,1.0,,1.0
VN,2017,92.7,203.0,,,9.0,37.0
AR,2016,43.0,538.0,14.0,,,15.0
AU,2016,23.5,1455.0,18.0,20.0,7.0,27.0
AT,2016,8.5,437.0,,25.0,,33.0
BE,2016,11.2,532.0,,18.0,,25.0
BRA,2016,206.1,2346.0,7.0,,,7.0
CA,2016,35.5,1785.0,15.0,13.0,,18.0
CL,2016,17.8,258.0,,16.0,,22.0
CN,2016,1364.3,10355.0,3.0,,1.0,3.0
CZ,2016,10.5,205.0,,19.0,,26.0
DK,2016,5.6,342.0,,26.0,,34.0
EE,2016,1.3,26.0,,32.0,,40.0
FI,2016,5.5,272.0,,27.0,,35.0
FR,2016,66.2,2829.0,2.0,2.0,,2.0
DE,2016,80.9,3868.0,8.0,5.0,,8.0
GR,2016,11.0,236.0,,14.0,,19.0
HU,2016,9.9,138.0,,22.0,,30.0
IS,2016,0.3,17.0,,34.0,,42.0
IN,2016,1295.3,2049.0,12.0,,5.0,13.0
ID,2016,254.5,889.0,16.0,,6.0,20.0
IE,2016,4.6,251.0,,29.0,,37.0
IL,2016,8.2,306.0,,21.0,,29.0
IT,2016,61.3,2141.0,10.0,8.0,,11.0
JP,2016,127.1,4602.0,6.0,4.0,3.0,6.0
SK,2016,50.4,1410.0,11.0,9.0,4.0,12.0
LU,2016,0.6,65.0,,33.0,,41.0
MX,2016,125.4,1295.0,13.0,10.0,,14.0
NL,2016,16.9,879.0,,12.0,,17.0
NZ,2016,4.5,166.0,,30.0,8.0,38.0
NO,2016,5.1,500.0,,24.0,,32.0
PL,2016,38.0,545.0,,15.0,,21.0
PT,2016,10.4,230.0,,17.0,,23.0
RU,2016,143.8,1861.0,4.0,,2.0,4.0
SA,2016,30.9,746.0,19.0,,,28.0
SVK,2016,5.4,100.0,,28.0,,36.0
SI,2016,2.1,49.0,,31.0,,39.0
ZA,2016,54.0,350.0,17.0,,,24.0
ES,2016,46.4,1381.0,,7.0,,10.0
SE,2016,9.7,571.0,,23.0,,31.0
CH,2016,8.2,701.0,,11.0,,16.0
TR,2016,75.9,798.0,5.0,3.0,,5.0
UK,2016,64.5,2989.0,9.0,6.0,,9.0
US,2016,318.9,17419.0,1.0,1.0,,1.0
